Artist,Category,VideoTitle,Time,ActivityLevel,LegAsana,BalanacingAsana,StretchAsana,CoreAsana
Yoga with Adriene,Yoga for a time of day,Yoga for a Rainy Day ,24 min,Gentle,Low lunge,"""Table dancer""","Head to knee, cat/cow, one-legged pigeon, cobbler + forward fold, r. twist, happy baby, hedgehog",bridge
Yoga with Adriene,Yoga for activities/jobs/people,Yoga for Actors,19 min,Gentle,Goddess,"Standing toe balance flow, dancer","Shoulder stretch, side body stretch",
Yoga with Adriene,Yoga for activities/jobs/people,Yoga for Artists,53 min,Gentle,,,"Spinal flex, sde body stretch, hand/armstretch, seated twist, cat/cow, shoulder stretch, eagle arms, cobbler+forward fold, arm/neck stretch",hovering table
Yoga with Adriene,Yoga for activities/jobs/people,Yoga for Cyclists ,23 min,Gentle,"Low lunge, half splits, crescent lunge, open lizard",,"cat/cow, heart to earth, shoulder to earth, table calf stretch, pigeon, glute stretch, cobbler+forward fold",Hovering cat
Yoga with Adriene,Yoga for activities/jobs/people,Yoga for Dancers ,23 min,Active,"Pyramid+forward fold, low lunge, garland + lift","Half splits, warrior III + standing one-legged tadasana flow, standnig pigeon+forward fold+balance","Cobbler+forward fold, hedgehog, happy baby",Three-legged dog pulses
Yoga with Adriene,Yoga for activities/jobs/people,Yoga for Gardeners,32 min,Gentle,lizard,One-legged table,"seated Spinal flex, seated twist, hand stretch, arm stretch, cat/cow, one-leg staff bind, cobbler+forward fold, r. twist",
Yoga with Adriene,Yoga for activities/jobs/people,Yoga for Golfers ,20 min,Gentle,"Crescent lunge+side stretch, low lunge+twist, high lunge+twist",,"seated twist, heart to earth, shoulder to earth, pigeon",
Yoga with Adriene,Yoga for activities/jobs/people,Yoga for Kids,32 min,Gentle,,Crow,"Cat/cow, shoulder stretch, r. feet tapping, frog hopping, windshield wiper legs",
Yoga with Adriene,Yoga for activities/jobs/people,Yoga for Manual Labour,22 min,Gentle,Three-legged dog,,"R. twist, wind-relieving pose, staff+forward fold, seated twist, figure 4, cow legs",Bridge
Yoga with Adriene,Yoga for activities/jobs/people,Yoga for Climbers ,29 min,Gentle,"Half extended side angle, half splits","One-leg quad stretch, standing jet� crunches, quarter moon","Neck stretches, forward fold shoulder opening, shoulder to earth, staff+forward fold",Three legged dog + nose to knee
Yoga with Adriene,Yoga for activities/jobs/people,Yoga for Musicians,25 min,Gentle,,,"Shoulder/arm/wrist/side body stretch, wide-legged standing+forward fold+twists, toe stand, staff, r. twists","Boat+eagle arms, r. leg lifts"
Yoga with Adriene,Yoga for activities/jobs/people,Yoga for Nurses ,29 min,Gentle,,"Standing one-legged moutain+twist, tree","r. twist+bind, hedgehog, happy baby, seated twist, cobbler, moutain twists, standing forward fold twists, standing wide-legged forward fold",Boat
Yoga with Adriene,Yoga for activities/jobs/people,Strength and Stamina - Roller Derby Yoga ,42 min,Active,"Crescent lunge, half splits, warrior I, humble warrior, high lunge",,"seated twist, seated spinal flex, wrist stretch, cat/cow, r. pigeon","Plank, three-legged dog + nose to knee alt"
Yoga with Adriene,Yoga for activities/jobs/people,Yoga for Runners ,34 min,Gentle,"Low lunge, lizard",Balancing table pulses,"Wide-legged sitting, cobbler+forward fold, pigeon, seated twist, staff+forward fold, head to knee, happy baby, quad stretch",
Yoga with Adriene,Yoga for activities/jobs/people,Yoga for Runners - cooldown sequence ,17 min,Gentle,"Wide-legged standing+forward fold+twist, low lunge",,"One-legged pigeon+twist, cobbler+forward fold",
Yoga with Adriene,Yoga for activities/jobs/people,Yoga for Runners - Warmup sequence ,16 min,Gentle,"Low lunge, half splits",Standing pigeon+forward fold,"Extended child'd pose, hero+twist, calf stretch, quad stretch, x-leg standing forward fold",plank
Yoga with Adriene,Yoga for activities/jobs/people,Yoga for the Service Industry,17 min,Gentle,,,"Foot stretch, standing wide-legged forward foldf+twist, neck stretch, forearms stretch, shoulder to earth, seated twist, pigeon, staff+forward fold, cobbler+forward fold",
Yoga with Adriene,Yoga for activities/jobs/people,Yoga for Skaters,26 min,Gentle,,"Standing one-legged tadasana, standing pigeon","r. pigeon, r. cobbler, standing side body stretch, table gekko stretch, open table twist + shoulder to earth, wide legged standing + forward fold",bicycles
Yoga with Adriene,Yoga for activities/jobs/people,Yoga for Surfers ,23 min,Gentle,"Low lunge, high lunge+twist+reverse","Flamingo forward fold, standing splits, balancing table","Standin hip stretches, hip dips, shoulder to earth, pigeon+forward fold+bind, cat/cow, sphinx","Chair, hovering table, locust"
Yoga with Adriene,Yoga for activities/jobs/people,Yoga for Swimmers,18 min,Gentle,,,"Cat/cow, heart to earth, sphinx,r. dancer shoulder stretch, cow arms, seated twist","Forearm plank, locust"
Yoga with Adriene,Yoga for activities/jobs/people,Yoga for Teachers,30 min,Gentle,,,"Hand/wrist stretch, seated side body stretch, cat/cow, standing side body stretch (crossed legs), standing wide-legs+side body stretch+forward fold, petit bonhomme, cobbler+forward fold, r. pigeon",
Yoga with Adriene,Yoga for activities/jobs/people,Yoga for Teens,21 min,Gentle,"Warrior II, peaceful warrior, low lunge",Tree,"Hedgehog, cat/cow","Bicycles, three legged dog"
Yoga with Adriene,Weight Loss,Abs and Arms,27 min,Vigorous,,Side plank,"Seated twist, reclined cobbler, reclined twist","Yogi bicycles, butterfly crunches, hovering cat, plank raises, wide arm pushups, lotus, plank toe taps, reclined leg raises, reclined pelvic lift"
Yoga with Adriene,Weight Loss,Balance Practise ,58 min,Vigorous,"Low lunge+twist, Warrior I, warrior II, peaceful warrior","Standing splits, Warrior I+twist+reverse twist","Reclined leg extension+open twist, cat/cow, seated twist, happy baby","Hovering cat, scissors"
Yoga with Adriene,Weight Loss,Yoga for Weight Loss - Core,,,,,,
Yoga with Adriene,Weight Loss,40 Min Fat Burning Workout,39 min,Active,"Low lunge, high lunge",,"reclined cobbler, hedgehog","Raised bent and straight leg crunches + pulses, hurdle alts, three-legged dog + nose-to-knee alt, chatturonga pushups, chair pose+twist, locust alt, ""Simba"" alt"
Yoga with Adriene,Weight Loss,Healthy Energy Flow ,36 min,Active,"Low lunge, half splits, crescent lunge, warrior II, reverse warrior, extended side angle, triangle",,"Cat/cow, r. cobbler, happy baby","Hovering cat, plank mermaid dips, three-legged dog+nose to knee, raised leg crunches, pulses"
Yoga with Adriene,Weight Loss,Hips and Core vinyasa ,12 min,Active,"Warrior I, warrior II, peaceful warrior, low lunge+twist, high lunge","One-legged mountain, warrior III, standing pigeon+forward fold",,"Three-legged dog + nose to knee, mermaid dips"
Yoga with Adriene,Weight Loss,Hips and Hammies ,33 min,Active,"Low lunge, warrior II, humble warrior, garland","Crow, figure 8","Cross-legged standing forward fold, heart to earth, knee circles in table, ninja pose, seated forward fold, seated twist, cradling leg in arm, cobbler's pose","Plank +leg lifts, three-legged dog+knee to elbow variations, yogi bicycles, pulses"
Yoga with Adriene,Weight Loss,Love Yoga Flow ,35 mi,Active,"Low lunge+twist, crescent moon, high lunge, warrior I+ II, extended side angle, wide-legged chair(?)+forward fold, garland",Headstand,"Cat/cow, reclined cobbler","Three-legged dog+nose-to-knee, crunches"
Yoga with Adriene,Weight Loss,Power Yoga Break ,17 min,Active,Lizard+twist,"Balancing table, side plank","Cat/cow, cobbler","Three-legged dog + nose to knee, plank shoulder taps, yogi bicycles"
Yoga with Adriene,Weight Loss,Strengthen and Lengthen ,41 min,Active,"Low lunges, warrior I+twist, warrior II, triangle +high arms, garland+twist",Crow,"Seated twists, heart to earth, seated forward fold","Hovering cat, three-legged dog+knee to elbow, flatback alternating bent/straight knees, bicycle crunches"
Yoga with Adriene,Weight Loss,Yoga Tone ,22 min,Active,"Low lunge, high lunge, warrior II, triangle+forward fold",,Staff,"Three-legged dog+nose-to-knee, Chair+twist, hovering cat, boat + alt"
Yoga with Adriene,Weight Loss,Total Body Workout ,60 min,Vigorous,"Low lunge, three-legged dog, high lunge, garland",Balancing table alt,"Seated arm vinyasas, extended child, heart to earth, sphinx, wide-legged forward fold, reclined twist","hovering cat, elbow plank, plank/down dog hurdles, pushups, plank leg raises, three-legged dog +nose-to-knee, boat alt, bicycles"
Yoga with Adriene,Self Care,Self Confidence ,29 min,Gentle,"Low lunge, half splits, crescent lunge, garland",One-legged mountain,"Standing wide-legged forward fold, wind-relieving post, r. twist",Chair+twist
Yoga with Adriene,Self Care,Self Worth ,19 min,Active,"Wide-legged standing, goddess, pyramid, high lunge","Standing splits, crow",,
Yoga with Adriene,Self Care,Self Love,24 min,Gentle,Low lunge+twist,Side plank,Hero,"Three-legged dog + nose to knee, chair"
Yoga with Adriene,Boot and Chill,Boost ,36 min,Vigorous,"Low lunge+twist, crescent lunge, high lunge, warrior II, peaceful warrior, extended side angle","side plank, one-legged mountain, warrior III","cat/cow, heart to earth, sphinx, locus, one-legged pigeon, happy baby, r. twist","Three-legged dog+nose-to-knee/knee-to-elbow, r. camel pulses, chair"
Yoga with Adriene,Boot and Chill,Mindfulness Meditation,,,,,,
Yoga with Adriene,Boot and Chill,Chill ,35 min,Gentle,"Low lunge, lizard+twist, ""ninja""",Balancing table alt,"Cat/cow, heart to earth, camel backbend, forward fold twists, locust, staff, seated twist",Three-legged dog + nose to knee
Yoga with Adriene,Viva la Revolution,Sukah Gentle ,26 min,Gentle,"Low lunge, crescent lunge",,"seated side body stretch, staff+forward fold flow, cat/cow, heart to earth, sphinx, shoulder to earth+twist, r. twist, wind-relieving pose","Boat, three-legged dog"
Yoga with Adriene,Viva la Revolution,Get Energized ,29 min,Active,"Low lunge, warrior I, warrior II, triangle+reverse, peaceful warrior",One-legged standing + forward fold,Cat/cow,"Hovering table, breath of fire+punches, mermaid dips, three-legged dog, crunches"
Yoga with Adriene,Viva la Revolution,Sthrira Strong ,30 min,Active,"Warrior I +forward fold, low lunge+twist","tree, standing pigeon, side plank","Gorilla, r. cobbler","Three-legged dog, forward fold to plank flow, r. leg lifts"
Yoga with Adriene,Viva la Revolution,Creative Core ,32 min,Active,"Low lunge, half splits, warrior II, peaceful warrior, goddess+twist, garland",,"seated spinal flex, core circles, cat/cow, heart to earth","Sphinx hover, mountain crunches, three-legged dog, mountain climbers, raised leg crunches"
Yoga with Adriene,Viva la Revolution,Get Relaxed ,26 min,Gentle,"Low lunge, half splits, gate",,"seated side stretch, seated twist, cat/cow, table crescent, seated pigeon, seated twist",Three-legged dog
Yoga with Adriene,Yoga Ritual,Yoga Ritual 1 - Ground med,21 min,Gentle,Crescent lunge,,"Cat/cow, eagle argms, pigon",Three-legged dog
Yoga with Adriene,Yoga Ritual,Yoga Ritual 2 - Stretch med,20 min,Gentle,"Low lunge, high lunge",,"gorilla, bow and arrow standing forward fold","Three-legged dpg, boat"
Yoga with Adriene,Yoga Ritual,Yoga Ritual 3 - Core med,20 min,Gentle,Warrior II,,"Heart to earth, r. cobbler, sphinx","Forearm plank, three-legged dog+nose to knee, mermaid dips, plank to standing forward fold flow, cobbler crunches"
Yoga with Adriene,Yoga Ritual,Yoga Ritual 4 - Oxygen med,20 min,Gentle,Garland,,"seated spinal flex, hero","Three-legged dog, boat"
Yoga with Adriene,Yoga Ritual,Yoga Ritual 5 - Detox med,21 min,Active,Low lunge+twist,Toe stand,"Shoulder to earth, cobbler","Three-legged dog+nose to knee/knee to elbow, locus, chair+twist"
Yoga with Adriene,Yoga Ritual,Yoga Ritual 6 - Power  med,21 min,Active,"Low lunge, half splits, lizard, pyramid",,Hero,"Three-legged dog + nose to knee, one-handed downward dog alt., lizard bind"
Yoga with Adriene,Yoga Ritual,Yoga Ritual 7 - Ease  med,22 min,Gentle,"Crescent lunge, garland",Eagle,"R. pigon, t. twist, r. obbler",Three-legged dog
Yoga with Adriene,Light - Chakra,Root ,29 min,Gentle,"Crescent lunge, half splits, garland flow, goddess",standing one-legged tadasana ,"Staff+forward fold, seated pigeon, cobbler, cow legs","Three-legged dog, chair, boat"
Yoga with Adriene,Light - Chakra,Sakral ,30 min,Gentle,,,"Pelvic tilts, r. hip stretch, r. knee circles, hedhehog, seated side body stretch, cross-legged standing forward fold, frog backbend, standing side-body stretch, hip circles, standing wide-legged forward fold+twist, pigeon+forward fold+bind","Bridge, three-legged dog"
Yoga with Adriene,Light - Chakra,Solar Plexus ,29 min,Active,"High lunge, Low lunge-twist","Warrior III, rev. Half moon, side plank","Kappalabati breath, seated circles, spinal flex, standing forward fold twists, hedgehog, r. cobbler, r. twist","Three-leggedd dog+nose to knee, planks, r. core lift, yogi bicycles, yogi crunches, r. leg lifts"
Yoga with Adriene,Light - Chakra,Heart ,30 min,Active,"Warrior I, low lunge, humble warrior, warrior II, peaceful warrior, crescent lunge, half splits",,"Cat/cow, heart to earth, sphinx, tabletop twist+shoulder to earth, table top side-body stretch, camel, wide leg seating+side body stretch, happy baby","Forearm plank, three-legged dog+nose to knee"
Yoga with Adriene,Light - Chakra,Throat ,30 min,Active,"Low unge+revolve+twist, high lunge+revolved, pyramid forward fold, warrior II, reverse warrior, reverse triangle + revolve",,"Neck stretches, cheerleader legs+twist, cat/cow, shoulder+side bdy stretch, seated twist, fish ","Three legged dog, bridge, plough, shoulder stand"
Yoga with Adriene,Light - Chakra,Third Eye,30 min,Gentle,"Crescent lunge, garland+Eagle arms","Eagle, tree, crow","Neck stretches, directional gaze, cat/cow, heart to earth, gorilla, frog, staff, r. twist, hedgehog","Hovering cat, three-legged dog+nose to knee, dolphine +three-legged"
Yoga with Adriene,Light - Chakra,Crown ,30 min,Active,"High lunge, warrior II, reverse warrior, ninja, low lunge, lizard bind","One-legged mountain, dancer, headstand","R. twist, cobbler+forward fold, cat/cow, mermaid, knocking on heaven's door, r. pigon, r. hero, hedgehog","Boat, three-legged dog, bridge"
Yoga with Adriene,Shanti,Flow for Inner Peace,19 min,Active,"Low lunge, high lunge","Tree, warrior III","Heart to earth, sphinx, seated twist, staff","Chair, plank"
Yoga with Adriene,Shanti,Primal Peace  Sequence ,20  min,Active,,Balancing table,"Side body stretch, goddess+twist, halfway list flow, pigeon+forward fold, garland, staff+forward fold",Plank
Yoga with Adriene,Shanti,Calm Core,14 min,Active,,,,"Bridge, r. leg lifts, boat+toe taps+Russian twists, wind-relieving pose alt"
Yoga with Adriene,Shanti,Shanti Meditation,11 min,,,,,
Yoga with Adriene,Quickies,Yoga for Abdominal Wall,14 min,Gentle,,,"Cat/cow, extended child's pose flow, wind-relieving pose, r. twist","Hovering table+nose to knee, boat+toe taps, r. one-leg toe taps, butterfly crunches"
Yoga with Adriene,Quickies,Yoga for Abs -  6 min workout,8 min,Gentle,,,R. cobbler,"Crunches, bicycles, pulses"
Yoga with Adriene,Quickies,Bedtime Yoga (Yoga Quickies),7 min,Gentle,,,"seated arm stretch, hedgehog+knee circles, happy baby, r. twist",
Yoga with Adriene,Quickies,Yoga Boost (Yoga Quickies),7 min,Gentle,,,"Wide-legged standing+forward fold, neck/shoulder stretches","Standing toe taps, standing knee crunches"
Yoga with Adriene,Quickies,Travel Yoga - Booty Stretch,3 min,Gentle,,One-legged standing+forward fold,"r. one-legged pigeon, r. cobbler, cobler+forward fold",
Yoga with Adriene,Quickies,Yoga Chill (Yoga Quickies),6 min,Gentle,,,"seated side body stretch, r. twist, r. cobbler",Bridge
Yoga with Adriene,Quickies,Yoga for the Classroom,10 min,Gentle,,Tree,"Various standing neck, shoulder, and side body stretches",
Yoga with Adriene,Quickies,Couch Potato Yoga,7 min,Gentle,Crescent lunge,,"Staff+forward fold, side body stretch, seated pigeon",
Yoga with Adriene,Quickies,Yoga At Your Desk,6 min,Gentle,,,"Neck stretches, shoulder stretches, seated twist, seated side body stretch+bind, arms clasped behind+forward fold, eagle arms, back bend, seated pigeon+forward fold",
Yoga with Adriene,Quickies,Yoga for Digestion,13 min,Gentle,,,"seated spinal flex, seated side body sretch, si. Twist, wind-relieving pose, r. twist",
Yoga with Adriene,Quickies,Yoga for a Dull Moment ,13 min,Active,"Low lune+ forward fold pyramid flow, crescent lunge",,,"Three-legged dog, wild thing"
Yoga with Adriene,Quickies,Yoga for Focus and Productivity ,9 min,Gentle,"Warrior II, triangle",,"Standing side body stretch, standing forward fold twist, wide-legged standing+forward fold",Chair+twist
Yoga with Adriene,Quickies,Yoga for Hips (Yoga Quickies) ,6 min,Gentle,Lizard,,"seated twist, seated pigeon, cobbler+forward fold",
Yoga with Adriene,Quickies,Meditation for Humility,12 min,,,,,
Yoga with Adriene,Quickies,Meditation for Inner Peace,,,,,,
Yoga with Adriene,Quickies,Yoga to Get the Juices Flowing ,8 min,Gentle,"Warrior II, peaceful warrior, triangle, low lunge",Any balancing pose (e.g. dancer),,
Yoga with Adriene,Quickies,Travel Yoga - Morning Sequence,10 min,Gentle,Low lunge,Tree,"Cat/cow, cobbler+forward fold",Boat
Yoga with Adriene,Quickies,Morning Yoga (Yoga Quickies),5 min,Gentle,,,"Cat/cow, heart to earth, down dog, standing forward fold, mountain, volcano",
Yoga with Adriene,Quickies,Yoga for Daily Neck Relief,3 min,Gentle,,,"Neck stretches (up/down, left/right), neck circles, neck tugs",
Yoga with Adriene,Quickies,Yoga on a Plane,4 min,Gentle,,,"Neck stretches, back bend, forward fold",
Yoga with Adriene,Quickies,Yoga Tips - Yoga for Healthy Posture,14 min,Gentle,"Low lunge, extended side angle, triangle",,"Hero, tabletop, cat/cow",Hovering cat
Yoga with Adriene,Quickies,Post-workout yoga (Yoga Quickies) ,6 min,Gentle,"Low lunge, half splits, garland",,"Shoulder stretch, quad stretch",
Yoga with Adriene,Quickies,Travel Yoga - Revitalizing Flow ,14 min,Active,"Crescent lunge+twist, warrior , humble warrior, garland+twist",,"Standing wide-legged forward fold+twist, seated twist, cobbler+forward fold+r., staff+forward fold, r. twist","Chatturanga pushups, boat"
Yoga with Adriene,Quickies,Yoga for Runners (Yoga Quickies) ,7 min,Gentle,"Down dog, low lunge+bind",Standing one-legged quad stretch,"Mountain, standing forward fold, standing cross-legged forward fold, ankle roll",Three-legged dog
Yoga with Adriene,Quickies,Yoga for Runners - Post run* ,8 min,Gentle,,,"cat/cow,Hero, gate+cat/cow, one-legged pigeon+bind, cobbler",
Yoga with Adriene,Quickies,Yoga for Runners - Pre run* ,7 min,Gentle,"Low lunge, half splits",quad stretch/dancer,"cat/cow, crossed standing forward fold",Three-legged dog
Yoga with Adriene,Quickies,Yoga for Self care (Yoga Quickies),10 min,Gentle,,,"Child's ppose, ""self hugs"", heart to earth, shoulder massage, foot massage, seated pigeon glute massage",
Yoga with Adriene,Quickies,Meditation to Start Your Day,7 min,,,,,
Yoga with Adriene,Quickies,Street Yoga,14 min,,,,,
Yoga with Adriene,Quickies,Quick Stress Fix,6 min,Gentle,,,"Standing sid body stretch, shoulder stretches, foot stretches, forward fold, heart opener",
Yoga with Adriene,Quickies,7-Minute Yoga for Stress Relief,7 min,Gentle,,Tree,"Neck stretches, shoulder stretch, knocking on heaven's door",
Yoga with Adriene,Quickies,Sunrise Yoga,15 min,Gentle,"Warrior I, humble warrior",,"side body stretch, shoulder bind, cobra, standing wide legged forward fold, petit bonhomme",Three-legged dog
Yoga with Adriene,Quickies,Sun Salutation A,4 min,,,,,
Yoga with Adriene,Quickies,Sun Salutation B,9 min,,,,,
Yoga with Adriene,Quickies,Yoga Tips - Transitions - Down Dog to Lunge,12 min,,,,,
Yoga with Adriene,Quickies,Yoga for your Upper Back,12 min,,,,,
Yoga with Adriene,Quickies,Wheelchair Yoga,11 min,,,,,
Yoga with Adriene,Quickies,Yoga for Healthy Wrists,3 min,Gentle,,,"Wrist stretches, wrist circles",
Yoga with Adriene,Empower,Heart Phase 1 ,45 min,Vigorous,"Three-legged dog, warrior I+twists+pulses, squat+jumping jack sequences, humble warrior+ pulses, low lunge+twist, garland pose","Eagle, dancer, headstand","Seated stretches, cat/cow, one-legged pigeon, eagle arms+wide-legged forward fold, seated twists, reclined twists",Chair pose
Yoga with Adriene,Empower,Strength Phase 1 ,42 min,Vigorous,"Low lunge+twist, high lunge, warrior II, garland","Headstand, warrior III, standing splits, half moon, crow","cat/cow, three-legged dog, heart to earth, sphinx, one-legged pigeon, stick forward fold, cobbler","Three-legged dog pulses, plank, chair, plank knee circles, one-legged chaturonga, chaturonga pushups, elbow plank, wind-relieving pose alternations, raise leg pulses"
Yoga with Adriene,Empower,Heart Phase 2 ,47 min,Vigorous,"Warrior II,reverse warrior, extended side angle, triangle, low lunge twist, high lunge+twist",,"Heart to earth, cat/cow, forward fold twists alternations, seated twist, reclined twist, happy baby","Downward dog/plank alt, bunny hops, standing knee-to-elbow alt, plank knee circles, 3-legged dog knee to elbow alt, pushups, boat pose+extended alt, bicycle, bridge"
Yoga with Adriene,Empower,Strength Phase 2 ,40 min,Vigorous,"warrior I, warrior II, reverse warrior, extended side angle, high lunge +high twist, camel, crescent moon"," Standing one-legged pigeon + fold, Warrior III, Half moon, standing splits","arm vinyasas, cat/cow, hero, head-to-knee pose, reclined one-legged twist, happy baby","pushups, hovering cat, side arm balance+tree, reverse dog, boat pose, headstand"
Yoga with Adriene,Empower,Stretch and Restore ,25 min,Gentle,Garland pose+twist,," Seated twists+stretches, reclined twist, cobra, cat/cow, heart to earth, table twists+shoulder to earth, hero+reclined, sphinx, eye of needle, reclined cobbler",
Yoga with Adriene,Empower,10 Minute Butt Workout,,,,,,
Yoga with Adriene,Empower,10 Minute Abs Workout,,,,,,
Yoga with Adriene,Empower,Savasana,,,,,,
Yoga with Adriene,Empower,Stretch and Soothe ,40 min,Gentle,"low lunge, lizard, wide legged forward fold+twist, stick+forward fold+twist, plough",balancing table alt,"seated arm vinyasa, cat/cow, shoulder to earth, three-legged dog, one-legged pigeon+twist+tiger, mountain pose twist, cobbler's +forward fold, wind-relieving pose + twist, hedgehog, happy baby, eye of the needle",tripod+ headstand
Yoga with Adriene,Reboot,Reboot 1 - Reconnect ,50 min,Active,"Low lunge + pulses, three-legged dog, warrior I+hover, high lunge+hover",,"Wind-relieving, one-legged reclined twist, hedgehog alt, cat/cow, heart to earth, child's pose, shoulder to earth, reclined twist, reclined cobbler","Hovering cat, pushups, hurdles, knee to elbow, locust, chair pose, raised leg Simbas + pulses"
Yoga with Adriene,Reboot,Reboot 2 - Reset ,45 min,Active,"Low lunge, warrior I, high lunge, humble warrior, gate",,"Cat/cow, hero, heart to earth, cobbler's, reclined twist, reclined cobbler","Hovering cat, plank pushups, cobra wide-armed lifts, chair + forward fold, chair pose alt"
Yoga with Adriene,Reboot,Reboot 3 - Rejuvenate ,42 min,Vigorous,"Low lunge+twist, high lunge + twist, wide legged standing forward fold+twist, triangle+forward fold, garland","Balancing table+nose to knee, crow","Hedgehog, cat/cow, heart to earth, sphinx, wind-relieving post+reclined twist","Hovering cat, three legged dog+knee to elbow, chair pose+twist, low lunge jumps, bridge, yogi bicycles, reclined straight-legged pulses"
Yoga with Adriene,Reboot,Reboot 4 - Redeem ,47 min,Active,"Warrior I, Warrior II, high lunge, reverse warrior, extended side angle,humble warrior, garland","Warrior III, eagle, crow","Cobra twist, sphinx, cat/cow, heart to earth, rocking horse, seated forward fold, one-legged pigeon, seated twist, reclined cobbler, stirrup","Hurdles, plank leg lifts, dolphin/plank alts, raised leg pulses"
Yoga with Adriene,Rise,Rise 1,17 min,Gentle,"Three-legged dog, low lunge, garland",,"Seated side stretches+twist, cat/cow, hero, reclined twist","Nose to knee, crunches"
Yoga with Adriene,Rise,Rise 2 ,24 min,Active,"Three-legged dog hip opener, low lunge, warrior I",,"Seated side stretch+twist, seated camel back stretch, cat/cow, reclined cobbler, reclined one-legged pigeon, happy baby","Knee to elbow variations, chair pose, yogi bicycles, bridge"
Yoga with Adriene,Rise,Rise 3 ,24 min,Gentle,"Warrior I, warrior II, standing wide legged forward fold/tripod headstand",Mountain on toes,"Reclined crescent stretch, hedgehog, wind-relieving pose, reclined one-legged twist, plough, seated side stretch +twist, seated camel stretch,reclined cobbler","Nose to knee, crunches, yogi bicycles"
Yoga with Adriene,Rise,Rise 4 ,30 min,Gentle,"Three-legged dog, low lunge, garland, standing wide legged fold+twist alternations, triangle","Balancing table+nose to knee, crow","Cat/cow, child, seated side stretch +twist, seated forward fold, cross-legged forward fold","Simba alteration yogi bicycles, boat, pranayama breath"
Yoga with Adriene,Rise,Rise 5,20 min,Gentle,,,"Reclined twist, hedgehog, reclined cobbler, wind-relieving pose+twist, seated side stretch+twist, seated one-legged stretch+fold+bind, cobbler+fold, cat/cow, heart to earth",Hovering cat
Yoga with Adriene,Rise,Rise 6 ,31 min,Gentle,"Low lunge, high lunge, three legged dog, warrior I,warrior II, peaceful warrior, low lunge+twist, one-legged pigeon+fold+bind",One-legged table+bind,"Reclined twist, seated spinal flex, seated side stretch+bind, cat/cow, cobra spinal wave, forward reclined bind","Pulses on knees, push ups"
Yoga with Adriene,Rise,Rise 7 ,43 min,Active,"Downward dog heel lifts, three-legged dog, low lunge+twist, hIgh lunge+twist, garland, side lunge stretch, extended side angle, plough","Tree, standing splits","Hero+side stretch+twist, extended child+heart to earth bind, cat/cow with reversed arms, cobra spinal wave, happy baby, reclined cobbler, reclined raised leg stretch, reclined twist, reclined one-legged pigeon, hero","chair+twist, yogi bicycles, pulses, bridge"
Yoga with Adriene,30 Days of Yoga,Day 1: Ease Into It,35 min,Gentle,Low lunge,," cat/cow, heart to earth, sphinx, open twist","Hovering cat, plank, boat, yogi bicycles"
Yoga with Adriene,30 Days of Yoga,Day 2:Stretch and Soothe ,33 min,Gentle,"Warrior I, warrior II, low lunge",Balancing table+nose to knee,"cat/cow, seated twist, seated forward fold, reclined one-legged pigeon, reclined twist, plough","Hoverering cat, plank, chair, three-legged dog+nose to knee, boat pulses"
Yoga with Adriene,30 Days of Yoga,Day 3: Forget What You Know ,23 min,Active,"Low lunge, warrior I, warrior II, wide-legged forward fold","Alternating leg lifts, tree + crunches"," Three legged dog stretches, plough, reclined cobbler, happy baby",Boat bicycle alternations
Yoga with Adriene,30 Days of Yoga,Day 4:Yoga For Your Back,20 min,Gentle,,,"Cat/cow, heart to earth, tabletop shoulder to earth, forward fold pulses, reclined twist","Plank stretches, plank+leg lifts, alternating outward plank"
Yoga with Adriene,30 Days of Yoga,Day 5:Feel Alive Flow ,15 min,Active,"Three-legged dog, low lunge, warrior II, peaceful warrior, triangle",,"Seated forward fold, seated one-legged twist, reclined cobbler","Three-legged dog+nose to knee, boat pulses"
Yoga with Adriene,30 Days of Yoga,Day 6:Six Pack Abs,17 min,Vigorous,,,Reclined cobber,"Flat back +elevated knees pulses, flatback straight leg raises, yogi bicycles, flatback/boat scissors"
Yoga with Adriene,30 Days of Yoga,Day 7:Total Body Yoga ,30 min,Active,"Low lunge, warrior I, humble warrior, forward triangle, warrior II, peaceful warrior, extended side angle",Side arm balance+variations,"Cat/cow, eagle arms, happy baby, reclined twist","Three-legged dog+nose to knee, three-legged dog+knee to elbow"
Yoga with Adriene,30 Days of Yoga,Day 8:Yoga For Healing and Meditation,28 min,Gentle,"Gardland pose+twist, wide-legged forward fold+bind/twist",Crow,"Seated forward fold, cobbler's pose+forward fold, wide-legged seated stretch, seated forward fold, one-legged pigeon+tiger",
Yoga with Adriene,30 Days of Yoga,Day 9:Full Potential Detox ,26 min,Active,"Low lunge+twist, warrior I pulses",,"Wind-relieving pose, seated twist, cat/cow, half split","Three-legged dog+knee to elbow, pushups, chair pose+twist"
Yoga with Adriene,30 Days of Yoga,Day 10:10 Min Sun Salutation,13 min,Active," Warrior I, low lunge",,,
Yoga with Adriene,30 Days of Yoga,Day 11:Shakti Yoga ,23 min,Active,"Low lunge+pulses, lizard, garland, goddess+twist",,"Seated side stretch, tabletop knee circles, half splits, cross-legged standing forward fold",
Yoga with Adriene,30 Days of Yoga,Day 12:Spinal Health ,18 min,Active,"Low lunge, warrior I+II, peaceful warrior","Volcano on toes, tree, warrior III","Sphinx, happy baby, reclined cobbler",
